Drug,Preferred_Term,Local_Respiratory_Reports,Local_Deaths,Observed_Death_Rate,OpenFDA_Current_Count,OpenFDA_Rank_Within_Drug,Current_to_Local_Ratio,Audit_Status,OpenFDA_Query_URL,OpenFDA_Queried_At,OpenFDA_Error
DUPIXENT,ASTHMA,13769,25,0.001815672888372431,14268,13,1.0362408308519138,RECOVERED_COMPATIBLE_MAGNITUDE,https://api.fda.gov/drug/event.json?search=patient.drug.medicinalproduct.exact%3A%22DUPIXENT%22&count=patient.reaction.reactionmeddrapt.exact&limit=500,2026-05-11T18:54:39,
DUPIXENT,DYSPNOEA,11346,56,0.004935660144544333,12150,16,1.0708619777895294,RECOVERED_COMPATIBLE_MAGNITUDE,https://api.fda.gov/drug/event.json?search=patient.drug.medicinalproduct.exact%3A%22DUPIXENT%22&count=patient.reaction.reactionmeddrapt.exact&limit=500,2026-05-11T18:54:39,
DUPIXENT,COUGH,9223,19,0.0020600672232462323,9676,25,1.049116339585818,RECOVERED_COMPATIBLE_MAGNITUDE,https://api.fda.gov/drug/event.json?search=patient.drug.medicinalproduct.exact%3A%22DUPIXENT%22&count=patient.reaction.reactionmeddrapt.exact&limit=500,2026-05-11T18:54:39,
DUPIXENT,NASAL CONGESTION,3817,6,0.0015719151165837044,3999,57,1.047681425203039,RECOVERED_COMPATIBLE_MAGNITUDE,https://api.fda.gov/drug/event.json?search=patient.drug.medicinalproduct.exact%3A%22DUPIXENT%22&count=patient.reaction.reactionmeddrapt.exact&limit=500,2026-05-11T18:54:39,
DUPIXENT,RHINORRHOEA,3144,3,0.0009541984732824427,3288,72,1.0458015267175573,RECOVERED_COMPATIBLE_MAGNITUDE,https://api.fda.gov/drug/event.json?search=patient.drug.medicinalproduct.exact%3A%22DUPIXENT%22&count=patient.reaction.reactionmeddrapt.exact&limit=500,2026-05-11T18:54:39,
DUPIXENT,OROPHARYNGEAL PAIN,2885,0,0.0,2949,77,1.0221837088388215,RECOVERED_COMPATIBLE_MAGNITUDE,https://api.fda.gov/drug/event.json?search=patient.drug.medicinalproduct.exact%3A%22DUPIXENT%22&count=patient.reaction.reactionmeddrapt.exact&limit=500,2026-05-11T18:54:39,
DUPIXENT,WHEEZING,2492,7,0.0028089887640449437,2638,83,1.0585874799357946,RECOVERED_COMPATIBLE_MAGNITUDE,https://api.fda.gov/drug/event.json?search=patient.drug.medicinalproduct.exact%3A%22DUPIXENT%22&count=patient.reaction.reactionmeddrapt.exact&limit=500,2026-05-11T18:54:39,
DUPIXENT,NASAL POLYPS,1649,0,0.0,1817,113,1.1018799272286235,RECOVERED_COMPATIBLE_MAGNITUDE,https://api.fda.gov/drug/event.json?search=patient.drug.medicinalproduct.exact%3A%22DUPIXENT%22&count=patient.reaction.reactionmeddrapt.exact&limit=500,2026-05-11T18:54:39,
ENBREL,COUGH,10521,40,0.0038019199695846404,12023,37,1.1427620948579031,RECOVERED_COMPATIBLE_MAGNITUDE,https://api.fda.gov/drug/event.json?search=patient.drug.medicinalproduct.exact%3A%22ENBREL%22&count=patient.reaction.reactionmeddrapt.exact&limit=500,2026-05-11T18:54:39,
ENBREL,DYSPNOEA,5924,127,0.021438217420661716,11241,40,1.8975354490209317,RECOVERED_COMPATIBLE_MAGNITUDE,https://api.fda.gov/drug/event.json?search=patient.drug.medicinalproduct.exact%3A%22ENBREL%22&count=patient.reaction.reactionmeddrapt.exact&limit=500,2026-05-11T18:54:39,
