Rank,Feature,Label,Category,Mean_SHAP,Mean_Abs_SHAP,Median_Abs_SHAP,Positive_SHAP_Fraction,Missing_Feature_Value_Fraction
1,has_resp_failure,Respiratory failure/arrest,Respiratory AE,-0.148494046538777,0.395696132190575,0.297863185405731,0.075979718844856,0
2,age_years,Patient age (years),Demographics,-0.0600771938132487,0.224172380958262,0.161583289504051,0.309809906564243,0
3,sex_female,Sex: female,Demographics,-0.0154379618505179,0.22079243947998,0.216503247618675,0.486696850994557,0
4,has_cancer_indi,Cancer indication,Indication,-0.0222406128313436,0.209035753742917,0.160143658518791,0.207420596564413,0
5,report_year,Report year,Clinical/Temporal,-0.186756166200394,0.186881310303597,0.153467521071434,0.00256397212189042,0
6,has_cardiac_ae,Cardiac co-reported AE,Co-morbid AE,-0.0259045383110695,0.176866799876806,0.126344949007034,0.149975411643011,0
7,tto_days,Time-to-onset (days),Clinical/Temporal,-0.0224167660878174,0.167528812606575,0.112984403967857,0.195197639517729,0
8,n_total_aes,Total no. adverse events,Clinical/Temporal,-0.0623194444415907,0.165276560598458,0.0958720296621323,0.495531702023028,0
9,has_dyspnoea,Dyspnoea,Respiratory AE,-0.0101528252946618,0.15225688969153,0.119759954512119,0.709603025215784,0
10,drug_inhaled_respiratory,Inhaled respiratory therapy,Drug Class,-0.0591587764622216,0.129296006046048,0.038935411721468,0.916230011361517,0
11,tto_available,Time-to-onset available,Clinical/Temporal,-0.0163924831503292,0.126104728381754,0.0910269916057587,0.714151023384375,0
12,n_concomitant_drugs,No. concomitant drugs,Drug Count,-0.00211522922982463,0.117425028747841,0.10083731263876,0.565230367468756,0
13,n_total_drugs,Total no. drugs,Drug Count,-0.0115601932499547,0.114023341601746,0.084840826690197,0.452558037001238,0
14,has_renal_ae,Renal co-reported AE,Co-morbid AE,-0.0106632544528138,0.0793112933224993,0.0500987581908703,0.0673619236573909,0
15,n_resp_pts,No. respiratory AE terms,Respiratory AE,-0.0295016411593914,0.0700648869184825,0.0394229702651501,0.572749317461125,0
16,drug_tnf_inhibitor,TNF-alpha inhibitor,Drug Class,-0.0140755363535757,0.0689773871401924,0.0292029809206724,0.947275779620491,0
17,drug_pah_therapy,Pulmonary hypertension therapy,Drug Class,-0.0237067339892359,0.0625402650733939,0.0452042333781719,0.0440114632616032,0
18,has_hepatic_ae,Hepatic co-reported AE,Co-morbid AE,-0.00212467325604017,0.0606879989162486,0.0331386551260948,0.0667344966169812,0
19,has_ild,Interstitial lung disease/pneumonitis,Respiratory AE,-0.00117411400473991,0.0559625848251508,0.0314313098788261,0.0822811212290787,0
20,has_cvd_indi,Cardiovascular indication,Indication,-0.0219213248915238,0.0521440051299102,0.0383632630109787,0.103349103796781,0
21,has_iv_route,Intravenous administration route,Clinical/Temporal,0.000860954612193038,0.0512943874730828,0.0343554951250553,0.315792508181988,0
22,drug_other_biologic,Other biologic/JAK immunomodulator,Drug Class,-0.0229793263561029,0.046600038236232,0.0141663169488311,0.89637957640196,0
23,drug_antineoplastic,Antineoplastic/cytotoxic therapy,Drug Class,0.00718083849015916,0.0427904184971195,0.0241293851286173,0.916752301978939,0
24,has_pe,Pulmonary embolism,Co-morbid AE,-0.00923757731888147,0.0359646870399768,0.0238478034734726,0.0782655881704567,0
25,sex_male,Sex: male,Demographics,-0.00632557833381031,0.0344588441615479,0.0334281697869301,0.360139729697648,0
26,has_oral_route,Oral administration route,Clinical/Temporal,-0.00521547389706695,0.0344024890365743,0.0256506260484457,0.524915636499296,0
27,age_missing,Age data missing,Demographics,-0.00574635135669145,0.031172701985136,0.0206840038299561,0.626589340523308,0
28,drug_cardiovascular,Cardiovascular medication,Drug Class,0.00044895421785295,0.023889206243712,0.0124755194410682,0.964019602855641,0
29,drug_immune_checkpoint_inhibitor,Immune checkpoint inhibitor,Drug Class,-0.00398252574826007,0.0194139094229273,0.0122707597911358,0.0290040867545065,0
30,drug_antifibrotic,Antifibrotic therapy,Drug Class,-0.00165920865775563,0.019297441050826,0.0107174962759018,0.0112529887571857,0
31,drug_anticoagulant,Anticoagulant,Drug Class,-0.000495062266151977,0.00619658966457292,0.00374535797163844,0.447043462040664,0
32,has_diabetes_indi,Diabetes indication,Indication,-0.00307840169989757,0.00596930178710439,0.00182758690789342,0.328785335164742,0
33,drug_targeted_therapy,Targeted anticancer therapy,Drug Class,-0.00127356971890203,0.00544904310510601,0.0015546977519989,0.524111851588069,0
34,drug_antidiabetic,Antidiabetic medication,Drug Class,-0.000816708228005089,0.00383773703382328,0.00126732478383929,0.851092910074443,0
