Group,AUROC,AUPRC,N,Deaths,Death_Rate,Model,Domain
Year 2023,0.749806046062132,0.35197289795016,88528,11662,0.131732333273089,Logistic Regression,Calendar year
Year 2024,0.724890611437934,0.326949602606285,96594,13053,0.135132616932729,Logistic Regression,Calendar year
Year 2025,0.716546328365516,0.327222524268442,109733,15091,0.137524719090884,Logistic Regression,Calendar year
Year 2023,0.779592496476472,0.418013817911227,88528,11662,0.131732333273089,XGBoost,Calendar year
Year 2024,0.693972321274174,0.359259595298938,96594,13053,0.135132616932729,XGBoost,Calendar year
Year 2025,0.657714763985642,0.343889035441503,109733,15091,0.137524719090884,XGBoost,Calendar year
Year 2023,0.77988947176268,0.418023217195481,88528,11662,0.131732333273089,LightGBM,Calendar year
Year 2024,0.696509964371718,0.36037293816252,96594,13053,0.135132616932729,LightGBM,Calendar year
Year 2025,0.661858209040093,0.344857543533027,109733,15091,0.137524719090884,LightGBM,Calendar year
Year 2023,0.776340042467898,0.409476026496253,88528,11662,0.131732333273089,Random Forest,Calendar year
Year 2024,0.713334195134234,0.358107183462575,96594,13053,0.135132616932729,Random Forest,Calendar year
Year 2025,0.691131638645612,0.339598083986653,109733,15091,0.137524719090884,Random Forest,Calendar year
Female,0.717551119477482,0.290076141797264,151350,17294,0.114264948794186,Logistic Regression,Sex
Male,0.73412953849948,0.383801975987673,100952,16784,0.166257231159363,Logistic Regression,Sex
Unknown,0.711657042785028,0.305680387230206,42553,5728,0.134608605738726,Logistic Regression,Sex
Female,0.640759775940068,0.310073768439991,151350,17294,0.114264948794186,XGBoost,Sex
Male,0.767227181576962,0.44393095460837,100952,16784,0.166257231159363,XGBoost,Sex
Unknown,0.658695741219032,0.304981589131783,42553,5728,0.134608605738726,XGBoost,Sex
Female,0.643723400342819,0.310595710775463,151350,17294,0.114264948794186,LightGBM,Sex
Male,0.76869261343965,0.444264123615951,100952,16784,0.166257231159363,LightGBM,Sex
Unknown,0.664248730406158,0.306434172434512,42553,5728,0.134608605738726,LightGBM,Sex
Female,0.696642809652755,0.314194764645702,151350,17294,0.114264948794186,Random Forest,Sex
Male,0.755230812306926,0.434057304886189,100952,16784,0.166257231159363,Random Forest,Sex
Unknown,0.692998803888986,0.299830946048804,42553,5728,0.134608605738726,Random Forest,Sex
50-64,0.734814665703002,0.301707140805599,144419,16215,0.112277470415943,Logistic Regression,Age group
<50,0.715503431058772,0.340492159726805,66960,10476,0.156451612903226,Logistic Regression,Age group
>=75,0.72276785918207,0.403484325918824,36982,6786,0.183494673084203,Logistic Regression,Age group
65-74,0.754135716083622,0.360850658857226,46494,6329,0.136125091409644,Logistic Regression,Age group
50-64,0.713642512949573,0.325798868647986,144419,16215,0.112277470415943,XGBoost,Age group
<50,0.611532111436155,0.375066037815749,66960,10476,0.156451612903226,XGBoost,Age group
>=75,0.74590547669364,0.434637629915642,36982,6786,0.183494673084203,XGBoost,Age group
65-74,0.765574842690003,0.389308500283855,46494,6329,0.136125091409644,XGBoost,Age group
50-64,0.716594394448791,0.326659124234752,144419,16215,0.112277470415943,LightGBM,Age group
<50,0.616565959141009,0.377051237941827,66960,10476,0.156451612903226,LightGBM,Age group
>=75,0.748574042652144,0.435191524010552,36982,6786,0.183494673084203,LightGBM,Age group
65-74,0.766351841787405,0.389131570909687,46494,6329,0.136125091409644,LightGBM,Age group
50-64,0.730254965651643,0.320995285545735,144419,16215,0.112277470415943,Random Forest,Age group
<50,0.685871201578868,0.391199154638072,66960,10476,0.156451612903226,Random Forest,Age group
>=75,0.727038989243151,0.41119660786601,36982,6786,0.183494673084203,Random Forest,Age group
65-74,0.761648632319463,0.381911701625433,46494,6329,0.136125091409644,Random Forest,Age group
