Feature,p_value,Effect,test_type,FDR
sex_female,0,,chi-square,0
sex_male,0,,chi-square,0
has_resp_failure,0,,chi-square,0
has_ild,0,,chi-square,0
has_dyspnoea,0,,chi-square,0
has_cardiac_ae,0,,chi-square,0
has_renal_ae,0,,chi-square,0
has_hepatic_ae,0,,chi-square,0
drug_immune_checkpoint_inhibitor,0,,chi-square,0
drug_tnf_inhibitor,0,,chi-square,0
drug_pah_therapy,0,,chi-square,0
drug_inhaled_respiratory,0,,chi-square,0
has_cancer_indi,0,,chi-square,0
has_cvd_indi,0,,chi-square,0
has_iv_route,5.68957831088051e-304,,chi-square,1.40342931668386e-303
age_missing,1.53735511489396e-287,,chi-square,3.55513370319228e-287
drug_antifibrotic,1.3728782002971e-209,2.2866,chi-square,2.98802902417604e-209
drug_targeted_therapy,9.0903232733609e-184,1.9401,chi-square,1.8685664506353e-183
has_oral_route,7.82173965358142e-179,,chi-square,1.52318087990796e-178
age_years,2.12675870017071e-173,0,wilcoxon_median_diff,3.93450359531581e-173
tto_days,7.66386235487905e-145,0,wilcoxon_median_diff,1.3502995577644e-144
drug_other_biologic,1.51423452777906e-133,,chi-square,2.54666716035569e-133
drug_cardiovascular,3.30455401709744e-79,,chi-square,5.3160216796785e-79
tto_available,3.92025233432301e-52,,chi-square,6.04372234874797e-52
report_year,9.84002472544325e-52,-1,wilcoxon_median_diff,1.4563236593656e-51
n_total_drugs,5.65254031007167e-39,0,wilcoxon_median_diff,8.04399967202507e-39
n_total_aes,4.44086588611349e-27,-1,wilcoxon_median_diff,6.08563102911849e-27
drug_anticoagulant,1.08553989943271e-13,,chi-square,1.43446343853608e-13
n_non_resp_aes,3.69357307133046e-11,0,wilcoxon_median_diff,4.712489780663e-11
has_pe,1.04482664979951e-09,,chi-square,1.28861953475273e-09
has_diabetes_indi,1.94339842237474e-08,,chi-square,2.31954005251179e-08
drug_antineoplastic,1.94578542301946e-05,,chi-square,2.24981439536625e-05
n_concomitant_drugs,0.00115819308785961,0,wilcoxon_median_diff,0.00129858012881229
n_resp_pts,0.00174362183304584,0,wilcoxon_median_diff,0.00189747081831459
drug_antidiabetic,0.0318428753880366,0.9156,chi-square,0.033662468267353
n_indications,0.735308192452524,0,wilcoxon_median_diff,0.75573342002065
n_suspect_drugs,0.7771141516253,0,wilcoxon_median_diff,0.7771141516253
