report_year,report_quarter,N,known_outcome,deaths,death_rate_known
2004,1,6095,0,0,
2004,2,5824,0,0,
2004,3,6535,0,0,
2004,4,6496,0,0,
2005,1,6454,0,0,
2005,2,7285,0,0,
2005,3,7361,0,0,
2005,4,9274,0,0,
2006,1,8440,0,0,
2006,2,8811,0,0,
2006,3,6188,0,0,
2006,4,8217,0,0,
2007,1,6847,0,0,
2007,2,7021,0,0,
2007,3,7408,0,0,
2007,4,9596,0,0,
2008,1,8271,0,0,
2008,2,9214,0,0,
2008,3,8449,0,0,
2008,4,9809,0,0,
2009,1,8866,0,0,
2009,2,9424,0,0,
2009,3,9234,0,0,
2009,4,10813,0,0,
2010,1,10684,0,0,
2010,2,11192,0,0,
2010,3,13003,0,0,
2010,4,14542,0,0,
2011,1,14026,0,0,
2011,2,14986,0,0,
2011,3,13231,0,0,
2011,4,17202,0,0,
2012,1,18827,0,0,
2012,2,17685,0,0,
2012,3,10486,0,0,
2012,4,23695,17368,3344,0.1925
2013,1,23641,16040,3433,0.214
2013,2,18474,14419,2668,0.185
2013,3,17884,14254,2487,0.1745
2013,4,20162,14559,2566,0.1762
2014,1,22986,15548,3040,0.1955
2014,2,20102,15262,2505,0.1641
2014,3,22198,17515,2801,0.1599
2014,4,20971,15347,2623,0.1709
2015,1,28057,17337,3726,0.2149
2015,2,25058,18009,3262,0.1811
2015,3,36540,17700,2883,0.1629
2015,4,27638,17714,3034,0.1713
2016,1,30603,17925,3004,0.1676
2016,2,25859,18057,2867,0.1588
2016,3,25894,18006,2681,0.1489
2016,4,24407,17213,2861,0.1662
2017,1,27682,18966,3424,0.1805
2017,2,27132,18728,3028,0.1617
2017,3,28593,19515,3282,0.1682
2017,4,25987,19271,3382,0.1755
2018,1,32062,21394,3404,0.1591
2018,2,31414,22700,3545,0.1562
2018,3,32145,22459,3602,0.1604
2018,4,32049,23182,3909,0.1686
2019,1,31473,22827,3744,0.164
2019,2,32459,23498,3294,0.1402
2019,3,32259,24088,3323,0.138
2019,4,34314,25615,3645,0.1423
2020,1,36583,26936,4235,0.1572
2020,2,33140,24884,4071,0.1636
2020,3,33766,27002,4508,0.167
2020,4,31756,24496,3719,0.1518
2021,1,30931,23142,3714,0.1605
2021,2,30365,22738,2879,0.1266
2021,3,31315,23592,3352,0.1421
2021,4,30823,23046,3098,0.1344
2022,1,30675,21855,3261,0.1492
2022,2,30616,21059,2707,0.1285
2022,3,32044,23318,2841,0.1218
2022,4,34229,22348,2893,0.1295
2023,1,31933,21481,3052,0.1421
2023,2,31768,22567,2931,0.1299
2023,3,29122,21160,2757,0.1303
2023,4,31664,23320,2922,0.1253
2024,1,31899,22177,3007,0.1356
2024,2,33044,23725,3242,0.1366
2024,3,33993,24166,3136,0.1298
2024,4,38121,26526,3668,0.1383
2025,1,42540,29910,4054,0.1355
2025,2,31168,21304,3150,0.1479
2025,3,42499,30125,4118,0.1367
2025,4,39552,28394,3769,0.1327
